HOLE_ID,X_MGA,Y_MGA,Z_MGA,DEPTH,DATASET,PRE_COLLAR,RC_DEPTH,GRID_NAME,START_DATE,FINISH_DAT,PROSPECT,LOCATION,COLLAR_COM,HOLE_TYPE,HOLE_SIZE,HOLE_PURPO,TENMENT_ID,NATIVE_TIT,LOCATION_S,CONTRACTOR,COMPANY,PROGRAM_NA,GEOLOGIST,LOGGED_BY,DRILLING_S,EQUIPMENT_,GROUTED,MINING_LEV,PLANNED_DE,PLANNED_AZ,PLANNED_DI,TENEMENT_I
C2045ND30,371534.0,7750363.0,162.83,34.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2045ND32,371525.0,7750346.0,232.14,50.700001,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2045NI19,371534.0,7750363.0,164.17,77.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2045NI48,371534.0,7750363.0,165.66,50.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2045SEH00,371495.0,7750316.0,194.6,37.8,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047ND11,371543.0,7750338.0,235.03,56.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047ND27,371551.0,7750354.0,164.61,50.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047ND28,371543.0,7750338.0,234.64,65.30000305175781,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047NH00,371551.0,7750354.0,165.18,42.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047NI09,371543.0,7750338.0,235.65,47.8,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047NI14,371543.0,7750338.0,235.86,42.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047NI20,371543.0,7750338.0,236.09,52.700001,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047NI31,371551.0,7750354.0,166.5,56.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047SD46,371534.0,7750320.0,177.5,124.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2047SI47,371534.0,7750320.0,182.0,24.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2048NEI07,371542.0,7750305.0,257.0,54.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2048SI55,371539.0,7750308.0,183.0,88.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2049ND10,371578.0,7750345.0,239.28,44.200001,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2049ND17,371566.0,7750339.0,164.57,61.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2049ND37,371578.0,7750344.0,239.78,60.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2049NI02,371566.0,7750339.0,165.05,64.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2049NI24,371566.0,7750339.0,166.23,71.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2049NI25,371578.0,7750344.0,240.65,44.700001,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2051ND18,371588.0,7750341.0,237.66,46.3,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2051ND41,371588.0,7750341.0,237.06,55.20000076293945,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2051NI21,371588.0,7750340.0,238.82,47.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2053ND10,371608.0,7750336.0,235.11,42.8,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2053ND40,371608.0,7750336.0,234.4,54.8,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2053NI35,371608.0,7750336.0,236.46,23.4,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055ND39,371615.0,7750306.0,243.39,95.300003,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055ND65,371615.0,7750305.0,243.17,51.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NED33,371615.0,7750306.0,243.54,59.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NED49,371615.0,7750306.0,243.39,71.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NI03,371615.0,7750306.0,244.51,74.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NWD18,371613.0,7750313.0,244.06,65.7,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NWD35,371615.0,7750313.0,243.67,86.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NWI09,371613.0,7750312.0,244.83,65.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2055NWI23,371615.0,7750298.0,174.89,84.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2059ND04,371651.0,7750283.0,251.5,51.900002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2059ND20,371651.0,7750283.0,251.12,101.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2061ND10,371670.0,7750278.0,254.86,52.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2061NI54,371678.0,7750295.0,182.6,59.3,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2063ND04,371689.0,7750274.0,258.22,45.8,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2063ND30,371688.0,7750274.0,257.59,53.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2063ND62,371691.0,7750273.0,257.2,109.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2063SD42,371693.0,7750281.0,181.99,113.3000031,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2063SD47,371688.0,7750269.0,257.2,125.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
